src,dst,count
T,P,18250
R,ECK,40981
S,UE,54523
O,LT,18597
LT,S,14560
K,N,71883
K,W,24333
UE,CH,40849
S,Z,66499
SP,U,19890
L,Y,36501
Y,S,36125
A,C,92645
N,TZ,14744
TZ,I,21441
QU,A,38400
I,BL,17349
CH,H,26052
U,Z,36023
G,F,17019
CH,W,24430
UE,ST,42797
P,S,41602
Y,CH,21303
CH,O,39354
O,NG,17046
M,W,23137
U,W,22008
CH,G,27036
T,Y,30613
Y,P,37927
K,SCH,15297
P,ST,7733
NG,N,12452
M,P,152712
E,QU,19704
M,N,24733
O,C,84739
A,Y,30791
Y,E,23706
G,Y,14019
B,Z,17415
L,V,37108
I,W,13236
CH,B,31841
UE,M,26819
N,C,42177
C,E,56772
A,W,23419
F,K,15582
R,X,7438
L,LT,29808
Y,M,34396
KR,O,21207
C,M,4797
D,H,32013
LT,A,28931
O,O,33590
R,BL,25287
CH,SCH,20231
F,W,18589
ECK,L,7016
Z,K,8295
N,P,39636
X,A,12630
BL,UE,14621
L,P,33786
A,SP,10550
S,V,80683
M,S,39972
O,SP,8503
SP,H,12062
K,Z,20379
O,J,9583
V,G,4362
H,J,4730
CH,TZ,7352
ST,M,16775
ECK,M,5293
PF,U,14643
SP,O,46777
K,B,15724
E,PF,22991
X,P,21692
ECK,U,9685
S,KR,27488
O,U,73811
C,A,77704
N,V,84200
O,A,18528
U,SCH,63627
R,J,9761
K,G,18049
ST,D,8495
R,C,17495
ST,W,11178
Z,M,9334
M,ECK,4986
H,T,17621
UE,PF,11200
U,SP,14279
X,E,17846
F,Z,21540
NG,F,7459
G,G,26086
H,S,6906
D,ST,16153
NG,UE,4343
H,ST,7416
ST,B,19513
S,J,10151
H,LT,13014
K,SP,4642
H,Y,40913
Z,B,12900
D,F,18931
E,Y,25623
CH,V,7799
LT,L,9855
C,O,83788
Y,T,17122
A,PF,8066
R,Y,19180
B,B,26218
TZ,SCH,4874
U,I,39937
UE,I,2878
X,UE,3000
Q,K,1968
P,C,3580
C,T,19733
SP,L,11627
TZ,G,6928
B,CH,3437
NG,SCH,3464
Y,R,19859
M,H,13652
M,R,11649
NG,SP,17942
G,B,12997
LT,W,3553
U,X,9636
SCH,T,16421
V,R,6361
I,PF,5053
R,KR,15518
B,SP,6032
G,D,10471
L,ECK,7292
I,X,16056
T,QU,2870
ECK,S,2908
Y,N,21861
J,H,2261
W,G,2041
K,P,8775
P,D,3763
C,S,4412
LT,SCH,3738
NG,W,4528
D,J,5631
K,BL,3114
K,ST,16823
ST,G,14876
F,SCH,14074
D,Z,9377
M,SCH,11204
A,ECK,7222
ECK,I,4940
Z,Z,9699
TZ,P,3587
CH,SP,6342
TZ,UE,5480
LT,B,7087
B,F,14084
N,NG,2594
D,Y,12036
KR,UE,4906
U,O,8340
X,Z,2269
A,O,9960
Z,F,4233
UE,P,3923
LT,G,3924
T,CH,10860
C,QU,1584
QU,I,17145
D,B,24557
O,Y,12047
Y,D,11756
M,Y,13337
N,ECK,6420
G,P,2413
B,Y,12478
N,Y,15443
H,Z,4446
Z,Y,10196
G,H,16625
Y,G,5076
B,M,7259
I,QU,8794
P,UE,2464
Z,R,3684
U,PF,5579
NG,J,1223
G,M,13105
O,SCH,7969
NG,O,6607
O,X,11214
F,P,4887
G,W,9203
S,BL,5016
TZ,M,4855
K,CH,2645
O,I,27689
L,J,5666
Y,A,10397
V,UE,1263
F,D,5917
ECK,T,8297
T,K,18001
S,C,17443
N,J,11706
X,F,1083
KR,U,7569
Y,L,15493
B,ECK,7573
